Rent,Neighborhood,Title,Posting Date,URL,Bed/Bath,Size
3475,Cambridge,"Renovated 2BR in Central Square, central air, heat ht. water included.",Wed 08 Apr 12:15:07 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-renovated-2br-in-central/7105265603.html,2BR / 2Ba,939ft2
3040,Cambridge - Kendall Square,"PARTIAL FEE! Modern 1 BR w/ River Views, Incl Ht & H.W.",Wed 08 Apr 12:13:30 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-partial-fee-modern-1-br-river/7105264465.html,1BR / 1Ba,N/A
1695,Malden West End,"ALL UTILITIES INCLUDED!! Walk to the T. 1.5 Bedroom, Laundry onsite.",Wed 08 Apr 12:09:18 PM,https://boston.craigslist.org/gbs/apa/d/malden-all-utilities-included-walk-to/7105261684.html,1BR / 1Ba,N/A
1995,Brighton,FREE APRIL RENT! Spacious one bedroom unit on the ground level,Wed 08 Apr 12:08:06 PM,https://boston.craigslist.org/gbs/apa/d/newton-free-april-rent-spacious-one/7105260936.html,1BR / 1Ba,N/A
2850,"Porter Square, Cambridge",Walden St 2-Bed Heat Included Laundry In-Unit 9/1,Wed 08 Apr 12:06:01 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-walden-st-2-bed-heat-included/7105259529.html,2BR / 1Ba,N/A
1800,Brighton,"arge Studio in great location - steps to B, C, D Line",Wed 08 Apr 12:00:04 PM,https://boston.craigslist.org/gbs/apa/d/brighton-arge-studio-in-great-location/7105255465.html,0BR / 1Ba,N/A
1800,N/A,"Cambridge Studio in Avon Hill!! | H & HW Inc, Pet Friendly",Wed 08 Apr 11:57:57 AM,https://boston.craigslist.org/gbs/apa/d/cambridge-cambridge-studio-in-avon-hill/7105254076.html,0BR / 1Ba,N/A
1600,SOMERVILLE,1 BEDROOM/UNION/SULLIVAN/PARKING INC,Wed 08 Apr 11:49:44 AM,https://boston.craigslist.org/gbs/apa/d/somerville-1-bedroom-union-sullivan/7105249039.html,1BR / 1Ba,N/A
4800,SOMERVILLE,❤❤ BRAND NEW 4 BED 2 BATH/TUFTS/MIT/MGH/MIT/SMALL PETS OK/PARKING INC,Wed 08 Apr 11:49:00 AM,https://boston.craigslist.org/gbs/apa/d/somerville-brand-new-4-bed-2-bath-tufts/7105248571.html,4BR / 2Ba,N/A
1750,WATERTOWN,1 BEDROOM AND A STUDY..WATERTOWN..HEAT AND PARKING INC..MASS PIKE,Wed 08 Apr 11:48:05 AM,https://boston.craigslist.org/nos/apa/d/watertown-1-bedroom-and/7105248057.html,2BR / 1Ba,N/A
950,CAMBRIDGE,"ROOM IN A 5 BEDROOM 3 BATH/HARVARD/INMAN/HARVARD LAW,DIVINITY,DESIGN",Wed 08 Apr 11:46:55 AM,https://boston.craigslist.org/gbs/apa/d/cambridge-room-in-5-bedroom-3-bath/7105247366.html,5BR / 3Ba,N/A
1000,SOMERVILLE/CAMBRIDGE LINE,ROOM IN A 4 BEDROOM/INMAN SQ/CATS OK/HARVARD LAW/DIVINITY/PARKING INC,Wed 08 Apr 11:45:42 AM,https://boston.craigslist.org/gbs/apa/d/somerville-room-in-4-bedroom-inman-sq/7105246643.html,1BR / 1Ba,N/A
3200,LEXINGTON,LEXINGTON SINGLE FAMILY HOUSE..3 BED 2 BATH..PETS OK..DELEADED,Wed 08 Apr 11:44:53 AM,https://boston.craigslist.org/gbs/apa/d/waverley-lexington-single-family-house3/7105246107.html,3BR / 2Ba,N/A
4500,Brighton,"Spacious 5 bedroom, 2 bathroom unit",Wed 08 Apr 11:44:37 AM,https://boston.craigslist.org/gbs/apa/d/brighton-spacious-5-bedroom-2-bathroom/7105245951.html,5BR / 2Ba,1700ft2
1000,SOMERVILLE/ CAMBRIDGE LINE,ROOM IN A 3 BEDROOM HOUSE/INMAN/UNION SQ./PARKING/WHOLE FOODS,Wed 08 Apr 11:43:54 AM,https://boston.craigslist.org/gbs/apa/d/somerville-room-in-3-bedroom-house/7105245537.html,1BR / 1Ba,N/A
1650,WAKEFIELD/LYNNFIELD LINE,1 BEDROOM AND A STUDY/HEAT AND PARKING INC/CATS OK/MARKETPLACE/128,Wed 08 Apr 11:43:17 AM,https://boston.craigslist.org/nos/apa/d/wakefield-1-bedroom-and-study-heat-and/7105245185.html,1BR / 1Ba,N/A
2095,N/A,NEW MARKET LARGE COOLIDGE CORNER 1 BED RENOVATED NO FEE EXCLUSIVE,Wed 08 Apr 11:42:17 AM,https://boston.craigslist.org/gbs/apa/d/brookline-new-market-large-coolidge/7105244544.html,1BR / 1Ba,600ft2
2700,"Salem, MA","4 Bedroom, 2 Bathroom Condo",Wed 08 Apr 11:40:50 AM,https://boston.craigslist.org/nos/apa/d/salem-4-bedroom-2-bathroom-condo/7105243612.html,4BR / 2Ba,N/A
1990,Chelsea,"2 miles from Boston! Luxury Living, Pet Friendly, 1 block from SL-3",Wed 08 Apr 11:39:20 AM,https://boston.craigslist.org/gbs/apa/d/chelsea-2-miles-from-boston-luxury/7105242678.html,1BR / 1Ba,702ft2
